PastureID,Pasture,Ecosite,graze.trt,Block,Proportion,Plot,CARM_name,,,,,,
50,17N,Sandy,TRM,9,0.167,5,NA,,,,,,
51,17N,Sandy,TRM,9,0.167,6,NA,,,,,,
52,20SE,Sandy,TRM,10,0.167,2,NA,,,,,,
53,20SE,Sandy,TRM,10,0.167,3,NA,,,,,,
54,20SE,Salt Flats,TRM,10,0.167,4,NA,,,,,,
55,20SE,Salt Flats,TRM,10,0.167,5,NA,,,,,,
56,20SE,Sandy,TRM,10,0.167,6,NA,,,,,,
57,10S,Loamy,CARM,1,0.25,2,Nighthawk,,,,,1,Nighthawk
58,10S,Loamy,CARM,1,0.25,3,Nighthawk,,,,,2,Highway
59,10S,Loamy,CARM,1,0.25,4,Nighthawk,,,,,3,Hilltank
60,21N,Loamy,CARM,2,0.25,2,Highway,,,,,4,Crossroads
61,21N,Loamy,CARM,2,0.25,3,Highway,,,,,5,South
62,21N,Loamy,CARM,2,0.25,4,Highway,,,,,6,Snowfence
63,26W,Loamy,CARM,3,0.25,2,Hilltank,,,,,7,Headquarters
64,26W,Loamy,CARM,3,0.25,3,Hilltank,,,,,8,Ridgetank
65,26W,Loamy,CARM,3,0.25,4,Hilltank,,,,,9,Saltflat
66,25NW,Loamy,CARM,4,0.25,2,Crossroads,,,,,10,Elm
67,25NW,Loamy,CARM,4,0.25,3,Crossroads,,,,,,
68,25NW,Loamy,CARM,4,0.25,4,Crossroads,,,,,,
69,31W,Loamy,CARM,5,0.25,2,South,,,,,,
70,31W,Loamy,CARM,5,0.25,3,South,,,,,,
71,31W,Sandy,CARM,5,0.25,4,South,,,,,,
72,18S,Sandy,CARM,6,0.25,2,Snowfence,,,,,,
73,18S,Sandy,CARM,6,0.25,3,Snowfence,,,,,,
74,18S,Sandy,CARM,6,0.25,4,Snowfence,,,,,,
75,7SE,Loamy,CARM,7,0.167,2,Headquarters,,,,,,
76,7SE,Loamy,CARM,7,0.167,3,Headquarters,,,,,,
77,7SE,Sandy,CARM,7,0.167,4,Headquarters,,,,,,
78,7SE,Salt Flats,CARM,7,0.167,5,Headquarters,,,,,,
79,7SE,Salt Flats,CARM,7,0.167,6,Headquarters,,,,,,
80,8E,Sandy,CARM,8,0.25,2,Ridgetank,,,,,,
81,8E,Loamy,CARM,8,0.25,3,Ridgetank,,,,,,
82,8E,Sandy,CARM,8,0.25,4,Ridgetank,,,,,,
83,17S,Loamy,CARM,9,0.167,2,Saltflat,,,,,,
84,17S,Salt Flats,CARM,9,0.167,3,Saltflat,,,,,,
85,17S,Salt Flats,CARM,9,0.167,4,Saltflat,,,,,,
86,17S,Sandy,CARM,9,0.167,5,Saltflat,,,,,,
87,17S,Sandy,CARM,9,0.167,6,Saltflat,,,,,,
88,20NW,Sandy,CARM,10,0.167,2,Elm,,,,,,
89,20NW,Sandy,CARM,10,0.167,3,Elm,,,,,,
90,20NW,Sandy,CARM,10,0.167,4,Elm,,,,,,
91,20NW,Salt Flats,CARM,10,0.167,5,Elm,,,,,,
92,20NW,Salt Flats,CARM,10,0.167,6,Elm,,,,,,
