,Pasture,Month,Day,Year,Ecosite,Treatment,CPNM,Biomass,Stdev,Date2,PastureID,CPNM2
30,15E,8,5,2018,Loamy,TGM,FORB,26.70625,5.906788997,08/05/2018,1,FRB3
60,15E,8,5,2018,Loamy,TGM,SD,184.875,45.56412148,08/05/2018,1,SD
61,15E,8,5,2018,Loamy,TGM,SS,53.91875,57.64185898,08/05/2018,1,SSHB
68,15E,8,5,2018,Loamy,TGM,VUOC,328.19375,147.9688387,08/05/2018,1,VUOC
70,15E,8,5,2018,Loamy,TGM,WSPG,29.76875,21.80643421,08/05/2018,1,WSPG
16,15E,8,5,2019,Loamy,TGM,BOBU,424.91875,142.986126,08/05/2019,1,BOBU
17,15E,8,5,2019,Loamy,TGM,C3PG,167.8875,167.4893809,08/05/2019,1,CSPG
19,15E,8,5,2019,Loamy,TGM,FORB,463.8125,225.3308775,08/05/2019,1,FRB3
49,15E,8,5,2019,Loamy,TGM,SD,66.73125,99.72102205,08/05/2019,1,SD
50,15E,8,5,2019,Loamy,TGM,SS,15.45625,18.27123622,08/05/2019,1,SSHB
64,15E,8,5,2019,Loamy,TGM,VUOC,313.51875,149.9855526,08/05/2019,1,VUOC
65,15E,8,5,2019,Loamy,TGM,WSPG,35.41875,44.00369954,08/05/2019,1,WSPG
45,15E,8,5,2020,Loamy,TGM,BOBU,202.825,83.46227691,08/05/2020,1,BOBU
46,15E,8,5,2020,Loamy,TGM,C3PG,89.65625,51.84681513,08/05/2020,1,CSPG
48,15E,8,5,2020,Loamy,TGM,FORB,18.51875,11.72339852,08/05/2020,1,FRB3
51,15E,8,5,2020,Loamy,TGM,SD,52.0375,30.71381679,08/05/2020,1,SD
52,15E,8,5,2020,Loamy,TGM,SS,0,0,08/05/2020,1,SSHB
53,15E,8,5,2020,Loamy,TGM,VUOC,37.0875,60.40704119,08/05/2020,1,VUOC
54,15E,8,5,2020,Loamy,TGM,WSPG,5.6375,8.437749996,08/05/2020,1,WSPG
62,15E,8,5,2021,Loamy,TGM,BOBU,169.825,47.34596516,08/05/2021,1,BOBU
63,15E,8,5,2021,Loamy,TGM,C3PG,278.6875,135.2094571,08/05/2021,1,CSPG
66,15E,8,5,2021,Loamy,TGM,FORB,143.71875,113.0443117,08/05/2021,1,FRB3
55,15E,8,5,2021,Loamy,TGM,SD,26.05625,7.462862917,08/05/2021,1,SD
69,15E,8,5,2021,Loamy,TGM,SS,57.4125,91.64656863,08/05/2021,1,SSHB
57,15E,8,5,2021,Loamy,TGM,VUOC,479.825,169.281788,08/05/2021,1,VUOC
58,15E,8,5,2021,Loamy,TGM,WSPG,16.20625,32.4125,08/05/2021,1,WSPG
76,17N,8,5,2013,Loamy,TGM,BOBU,394.5,21.84959954,08/05/2013,9,BOBU
78,17N,8,5,2013,Salt Flats,TGM,BOBU,187.575,25.27906743,08/05/2013,9,BOBU
105,17N,8,5,2013,Sandy,TGM,BOBU,312.1625,82.74917107,08/05/2013,9,BOBU
73,17N,8,5,2013,Salt Flats,TGM,C3PG,396.25,163.4477325,08/05/2013,9,CSPG
75,17N,8,5,2013,Sandy,TGM,C3PG,468.7125,149.2525638,08/05/2013,9,CSPG
89,17N,8,5,2013,Loamy,TGM,C3PG,107.9875,50.50510185,08/05/2013,9,CSPG
90,17N,8,5,2013,Salt Flats,TGM,FORB,69.625,96.55543097,08/05/2013,9,FRB3
92,17N,8,5,2013,Loamy,TGM,FORB,27.65,13.04612011,08/05/2013,9,FRB3
149,17N,8,5,2013,Sandy,TGM,FORB,168.1125,137.3024592,08/05/2013,9,FRB3
82,17N,8,5,2013,Salt Flats,TGM,SD,693.2,66.78623548,08/05/2013,9,SD
93,17N,8,5,2013,Loamy,TGM,SD,66.3375,36.32761088,08/05/2013,9,SD
150,17N,8,5,2013,Sandy,TGM,SD,93.5,15.41492783,08/05/2013,9,SD
94,17N,8,5,2013,Loamy,TGM,SS,0.7375,1.042982502,08/05/2013,9,SSHB
115,17N,8,5,2013,Salt Flats,TGM,SS,0,0,08/05/2013,9,SSHB
151,17N,8,5,2013,Sandy,TGM,SS,108.375,109.4954851,08/05/2013,9,SSHB
74,17N,8,5,2013,Loamy,TGM,VUOC,48.7125,25.2967451,08/05/2013,9,VUOC
116,17N,8,5,2013,Salt Flats,TGM,VUOC,8.0125,11.33138617,08/05/2013,9,VUOC
152,17N,8,5,2013,Sandy,TGM,VUOC,0.475,0.671751442,08/05/2013,9,VUOC
96,17N,8,5,2013,Loamy,TGM,WSPG,43.4,4.277996026,08/05/2013,9,WSPG
104,17N,8,5,2013,Salt Flats,TGM,WSPG,997.9625,289.9668133,08/05/2013,9,WSPG
274,17N,8,5,2013,Sandy,TGM,WSPG,64.7875,60.40459678,08/05/2013,9,WSPG
79,17N,8,5,2014,Loamy,TGM,BOBU,553.4,100.833427,08/05/2014,9,BOBU
87,17N,8,5,2014,Salt Flats,TGM,BOBU,324.1875,83.42092251,08/05/2014,9,BOBU
95,17N,8,5,2014,Sandy,TGM,BOBU,623.95,287.2267745,08/05/2014,9,BOBU
80,17N,8,5,2014,Loamy,TGM,C3PG,148.6,104.5457376,08/05/2014,9,CSPG
88,17N,8,5,2014,Salt Flats,TGM,C3PG,1474.175,460.786134,08/05/2014,9,CSPG
177,17N,8,5,2014,Sandy,TGM,C3PG,624.2875,155.2629715,08/05/2014,9,CSPG
103,17N,8,5,2014,Salt Flats,TGM,FORB,29.5875,25.68565383,08/05/2014,9,FRB3
122,17N,8,5,2014,Loamy,TGM,FORB,43.875,28.14284989,08/05/2014,9,FRB3
179,17N,8,5,2014,Sandy,TGM,FORB,151.1875,92.1890466,08/05/2014,9,FRB3
123,17N,8,5,2014,Loamy,TGM,SD,107.1625,2.916815472,08/05/2014,9,SD
131,17N,8,5,2014,Salt Flats,TGM,SD,577.15,9.40452019,08/05/2014,9,SD
180,17N,8,5,2014,Sandy,TGM,SD,199,120.0667314,08/05/2014,9,SD
124,17N,8,5,2014,Loamy,TGM,SS,52.1375,73.73355961,08/05/2014,9,SSHB
132,17N,8,5,2014,Salt Flats,TGM,SS,0,0,08/05/2014,9,SSHB
181,17N,8,5,2014,Sandy,TGM,SS,177.2,55.93214639,08/05/2014,9,SSHB
125,17N,8,5,2014,Loamy,TGM,VUOC,328.025,13.32896283,08/05/2014,9,VUOC
133,17N,8,5,2014,Salt Flats,TGM,VUOC,133.3375,188.5677009,08/05/2014,9,VUOC
287,17N,8,5,2014,Sandy,TGM,VUOC,82.1375,49.76263973,08/05/2014,9,VUOC
126,17N,8,5,2014,Loamy,TGM,WSPG,3.5625,5.038135816,08/05/2014,9,WSPG
134,17N,8,5,2014,Salt Flats,TGM,WSPG,505.5,314.7332283,08/05/2014,9,WSPG
285,17N,8,5,2014,Sandy,TGM,WSPG,62.1,10.18233765,08/05/2014,9,WSPG
81,17N,8,5,2015,Loamy,TGM,BOBU,410.7875,107.4625531,08/05/2015,9,BOBU
156,17N,8,5,2015,Salt Flats,TGM,BOBU,508.4625,32.33245757,08/05/2015,9,BOBU
164,17N,8,5,2015,Sandy,TGM,BOBU,534.9625,22.25618594,08/05/2015,9,BOBU
86,17N,8,5,2015,Loamy,TGM,C3PG,731.7,628.3350858,08/05/2015,9,CSPG
117,17N,8,5,2015,Salt Flats,TGM,C3PG,1954.125,712.1272393,08/05/2015,9,CSPG
206,17N,8,5,2015,Sandy,TGM,C3PG,636.2875,258.4298509,08/05/2015,9,CSPG
84,17N,8,5,2015,Loamy,TGM,FORB,95.9125,15.4326055,08/05/2015,9,FRB3
119,17N,8,5,2015,Salt Flats,TGM,FORB,83.1625,82.9613031,08/05/2015,9,FRB3
208,17N,8,5,2015,Sandy,TGM,FORB,124.8,63.07392488,08/05/2015,9,FRB3
85,17N,8,5,2015,Loamy,TGM,SD,3.5,1.13137085,08/05/2015,9,SD
120,17N,8,5,2015,Salt Flats,TGM,SD,939.0125,276.3196524,08/05/2015,9,SD
209,17N,8,5,2015,Sandy,TGM,SD,225.85,88.95403307,08/05/2015,9,SD
113,17N,8,5,2015,Loamy,TGM,SS,440.8,623.3853383,08/05/2015,9,SSHB
161,17N,8,5,2015,Salt Flats,TGM,SS,0,0,08/05/2015,9,SSHB
210,17N,8,5,2015,Sandy,TGM,SS,164.6125,75.25383919,08/05/2015,9,SSHB
114,17N,8,5,2015,Loamy,TGM,VUOC,12.725,14.17749096,08/05/2015,9,VUOC
162,17N,8,5,2015,Salt Flats,TGM,VUOC,18.1625,25.68565383,08/05/2015,9,VUOC
286,17N,8,5,2015,Sandy,TGM,VUOC,88.725,42.53247289,08/05/2015,9,VUOC
155,17N,8,5,2015,Loamy,TGM,WSPG,317.25,448.6592527,08/05/2015,9,WSPG
163,17N,8,5,2015,Salt Flats,TGM,WSPG,550.375,302.0760169,08/05/2015,9,WSPG
280,17N,8,5,2015,Sandy,TGM,WSPG,25.9625,36.71651961,08/05/2015,9,WSPG
97,17N,8,5,2016,Loamy,TGM,BOBU,191.8291667,32.67422585,08/05/2016,9,BOBU
145,17N,8,5,2016,Salt Flats,TGM,BOBU,139.6,195.9039337,08/05/2016,9,BOBU
153,17N,8,5,2016,Sandy,TGM,BOBU,99.65,22.16779759,08/05/2016,9,BOBU
98,17N,8,5,2016,Loamy,TGM,C3PG,144.1583333,44.25309939,08/05/2016,9,CSPG
106,17N,8,5,2016,Salt Flats,TGM,C3PG,733.9125,52.97997558,08/05/2016,9,CSPG
154,17N,8,5,2016,Sandy,TGM,C3PG,445.2375,301.7754965,08/05/2016,9,CSPG
100,17N,8,5,2016,Loamy,TGM,FORB,199.7875,242.4138823,08/05/2016,9,FRB3
108,17N,8,5,2016,Salt Flats,TGM,FORB,46.625,65.93770735,08/05/2016,9,FRB3
237,17N,8,5,2016,Sandy,TGM,FORB,100.9125,111.4930617,08/05/2016,9,FRB3
101,17N,8,5,2016,Loamy,TGM,SD,146.4125,53.05068626,08/05/2016,9,SD
109,17N,8,5,2016,Salt Flats,TGM,SD,1040.4,96.9443397,08/05/2016,9,SD
238,17N,8,5,2016,Sandy,TGM,SD,226.5,40.62328458,08/05/2016,9,SD
110,17N,8,5,2016,Salt Flats,TGM,SS,0,0,08/05/2016,9,SSHB
142,17N,8,5,2016,Loamy,TGM,SS,0,0,08/05/2016,9,SSHB
239,17N,8,5,2016,Sandy,TGM,SS,0,0,08/05/2016,9,SSHB
111,17N,8,5,2016,Salt Flats,TGM,VUOC,42.1875,27.48877612,08/05/2016,9,VUOC
143,17N,8,5,2016,Loamy,TGM,VUOC,283.7125,57.71759101,08/05/2016,9,VUOC
240,17N,8,5,2016,Sandy,TGM,VUOC,74.075,55.47252698,08/05/2016,9,VUOC
112,17N,8,5,2016,Salt Flats,TGM,WSPG,779.7,182.1153515,08/05/2016,9,WSPG
144,17N,8,5,2016,Loamy,TGM,WSPG,3.1,4.384062043,08/05/2016,9,WSPG
281,17N,8,5,2016,Sandy,TGM,WSPG,16.55,23.40523446,08/05/2016,9,WSPG
127,17N,8,5,2017,Loamy,TGM,BOBU,594.8375,23.98859755,08/05/2017,9,BOBU
135,17N,8,5,2017,Salt Flats,TGM,BOBU,63.375,89.62578452,08/05/2017,9,BOBU
183,17N,8,5,2017,Sandy,TGM,BOBU,295.125,74.88260813,08/05/2017,9,BOBU
128,17N,8,5,2017,Loamy,TGM,C3PG,216.3375,183.7947301,08/05/2017,9,CSPG
136,17N,8,5,2017,Salt Flats,TGM,C3PG,1756.5375,461.051299,08/05/2017,9,CSPG
184,17N,8,5,2017,Sandy,TGM,C3PG,641.4625,65.92002968,08/05/2017,9,CSPG
130,17N,8,5,2017,Loamy,TGM,FORB,184.6125,145.1866998,08/05/2017,9,FRB3
138,17N,8,5,2017,Salt Flats,TGM,FORB,147.8,110.6622113,08/05/2017,9,FRB3
146,17N,8,5,2017,Sandy,TGM,FORB,219.5875,217.0994595,08/05/2017,9,FRB3
139,17N,8,5,2017,Salt Flats,TGM,SD,2535.7,1556.483447,08/05/2017,9,SD
147,17N,8,5,2017,Sandy,TGM,SD,219.725,10.07627163,08/05/2017,9,SD
171,17N,8,5,2017,Loamy,TGM,SD,139.6,91.42890681,08/05/2017,9,SD
140,17N,8,5,2017,Salt Flats,TGM,SS,0,0,08/05/2017,9,SSHB
172,17N,8,5,2017,Loamy,TGM,SS,0,0,08/05/2017,9,SSHB
269,17N,8,5,2017,Sandy,TGM,SS,0,0,08/05/2017,9,SSHB
141,17N,8,5,2017,Salt Flats,TGM,VUOC,0,0,08/05/2017,9,VUOC
173,17N,8,5,2017,Loamy,TGM,VUOC,7.75,7.106423151,08/05/2017,9,VUOC
270,17N,8,5,2017,Sandy,TGM,VUOC,1,1.414213562,08/05/2017,9,VUOC
174,17N,8,5,2017,Loamy,TGM,WSPG,38.95,42.92138162,08/05/2017,9,WSPG
182,17N,8,5,2017,Salt Flats,TGM,WSPG,1074.7125,239.3026124,08/05/2017,9,WSPG
271,17N,8,5,2017,Sandy,TGM,WSPG,72.45,20.08183259,08/05/2017,9,WSPG
157,17N,8,5,2018,Loamy,TGM,BOBU,448.375,10.18233765,08/05/2018,9,BOBU
165,17N,8,5,2018,Salt Flats,TGM,BOBU,195.425,40.62328458,08/05/2018,9,BOBU
213,17N,8,5,2018,Sandy,TGM,BOBU,191.4,7.707463915,08/05/2018,9,BOBU
158,17N,8,5,2018,Loamy,TGM,C3PG,139.7375,26.53418196,08/05/2018,9,CSPG
166,17N,8,5,2018,Salt Flats,TGM,C3PG,724.6125,225.0190554,08/05/2018,9,CSPG
214,17N,8,5,2018,Sandy,TGM,C3PG,488.7375,92.1890466,08/05/2018,9,CSPG
160,17N,8,5,2018,Loamy,TGM,FORB,69.9,45.74980874,08/05/2018,9,FRB3
168,17N,8,5,2018,Salt Flats,TGM,FORB,131.575,76.86250711,08/05/2018,9,FRB3
176,17N,8,5,2018,Sandy,TGM,FORB,94.7375,114.5336209,08/05/2018,9,FRB3
169,17N,8,5,2018,Salt Flats,TGM,SD,1715.75,593.2979448,08/05/2018,9,SD
201,17N,8,5,2018,Loamy,TGM,SD,89.4,56.81602987,08/05/2018,9,SD
272,17N,8,5,2018,Sandy,TGM,SD,302.075,84.28712832,08/05/2018,9,SD
170,17N,8,5,2018,Salt Flats,TGM,SS,0,0,08/05/2018,9,SSHB
202,17N,8,5,2018,Loamy,TGM,SS,28.25,30.82985566,08/05/2018,9,SSHB
273,17N,8,5,2018,Sandy,TGM,SS,13.5875,19.21562678,08/05/2018,9,SSHB
203,17N,8,5,2018,Loamy,TGM,VUOC,281.2625,239.3026124,08/05/2018,9,VUOC
211,17N,8,5,2018,Salt Flats,TGM,VUOC,15.0125,21.23088111,08/05/2018,9,VUOC
288,17N,8,5,2018,Sandy,TGM,VUOC,44.3125,52.23751346,08/05/2018,9,VUOC
204,17N,8,5,2018,Loamy,TGM,WSPG,22.6,31.96122651,08/05/2018,9,WSPG
212,17N,8,5,2018,Salt Flats,TGM,WSPG,1223.2625,307.3616401,08/05/2018,9,WSPG
283,17N,8,5,2018,Sandy,TGM,WSPG,89.275,121.8698537,08/05/2018,9,WSPG
186,17N,8,5,2019,Loamy,TGM,BOBU,596.9875,33.64060511,08/05/2019,9,BOBU
194,17N,8,5,2019,Salt Flats,TGM,BOBU,21.625,5.26794552,08/05/2019,9,BOBU
242,17N,8,5,2019,Sandy,TGM,BOBU,202.6125,81.86528759,08/05/2019,9,BOBU
187,17N,8,5,2019,Loamy,TGM,C3PG,330.75,349.2400392,08/05/2019,9,CSPG
195,17N,8,5,2019,Salt Flats,TGM,C3PG,707.925,272.9078622,08/05/2019,9,CSPG
243,17N,8,5,2019,Sandy,TGM,C3PG,539.3625,226.327203,08/05/2019,9,CSPG
189,17N,8,5,2019,Loamy,TGM,FORB,163.7,47.09331163,08/05/2019,9,FRB3
197,17N,8,5,2019,Salt Flats,TGM,FORB,470.625,308.2278459,08/05/2019,9,FRB3
205,17N,8,5,2019,Sandy,TGM,FORB,545.9125,546.8587069,08/05/2019,9,FRB3
190,17N,8,5,2019,Loamy,TGM,SD,11.0875,7.088745481,08/05/2019,9,SD
198,17N,8,5,2019,Salt Flats,TGM,SD,11.6375,0.689429112,08/05/2019,9,SD
282,17N,8,5,2019,Sandy,TGM,SD,37.9875,0.300520382,08/05/2019,9,SD
191,17N,8,5,2019,Loamy,TGM,SS,0,0,08/05/2019,9,SSHB
199,17N,8,5,2019,Salt Flats,TGM,SS,28.3125,40.03992148,08/05/2019,9,SSHB
275,17N,8,5,2019,Sandy,TGM,SS,0,0,08/05/2019,9,SSHB
192,17N,8,5,2019,Loamy,TGM,VUOC,41,37.15846135,08/05/2019,9,VUOC
200,17N,8,5,2019,Salt Flats,TGM,VUOC,140.1375,197.0529822,08/05/2019,9,VUOC
276,17N,8,5,2019,Sandy,TGM,VUOC,24.95,5.020458146,08/05/2019,9,VUOC
193,17N,8,5,2019,Loamy,TGM,WSPG,44.125,42.10820882,08/05/2019,9,WSPG
241,17N,8,5,2019,Salt Flats,TGM,WSPG,1561.875,255.0887713,08/05/2019,9,WSPG
284,17N,8,5,2019,Sandy,TGM,WSPG,168.375,174.761441,08/05/2019,9,WSPG
215,17N,8,5,2020,Loamy,TGM,BOBU,208.0625,64.93008018,08/05/2020,9,BOBU
223,17N,8,5,2020,Salt Flats,TGM,BOBU,30.8125,16.56397635,08/05/2020,9,BOBU
231,17N,8,5,2020,Sandy,TGM,BOBU,45.825,4.87903679,08/05/2020,9,BOBU
216,17N,8,5,2020,Loamy,TGM,C3PG,58.125,55.18968427,08/05/2020,9,CSPG
224,17N,8,5,2020,Salt Flats,TGM,C3PG,452.45,11.41977452,08/05/2020,9,CSPG
232,17N,8,5,2020,Sandy,TGM,C3PG,242.1375,84.5876487,08/05/2020,9,CSPG
218,17N,8,5,2020,Loamy,TGM,FORB,6.225,2.474873734,08/05/2020,9,FRB3
226,17N,8,5,2020,Salt Flats,TGM,FORB,85.65,31.21876439,08/05/2020,9,FRB3
234,17N,8,5,2020,Sandy,TGM,FORB,158.8375,209.639483,08/05/2020,9,FRB3
219,17N,8,5,2020,Loamy,TGM,SD,86.0125,73.13251884,08/05/2020,9,SD
227,17N,8,5,2020,Salt Flats,TGM,SD,1307.8625,473.7085104,08/05/2020,9,SD
235,17N,8,5,2020,Sandy,TGM,SD,220.4875,38.90855063,08/05/2020,9,SD
220,17N,8,5,2020,Loamy,TGM,SS,0,0,08/05/2020,9,SSHB
228,17N,8,5,2020,Salt Flats,TGM,SS,0,0,08/05/2020,9,SSHB
277,17N,8,5,2020,Sandy,TGM,SS,0,0,08/05/2020,9,SSHB
221,17N,8,5,2020,Loamy,TGM,VUOC,0,0,08/05/2020,9,VUOC
229,17N,8,5,2020,Salt Flats,TGM,VUOC,0,0,08/05/2020,9,VUOC
278,17N,8,5,2020,Sandy,TGM,VUOC,0,0,08/05/2020,9,VUOC
222,17N,8,5,2020,Loamy,TGM,WSPG,6.3125,8.927223112,08/05/2020,9,WSPG
230,17N,8,5,2020,Salt Flats,TGM,WSPG,810.9625,353.7124896,08/05/2020,9,WSPG
279,17N,8,5,2020,Sandy,TGM,WSPG,134.35,189.9995921,08/05/2020,9,WSPG
245,17N,8,5,2021,Loamy,TGM,BOBU,608.2625,185.7392737,08/05/2021,9,BOBU
253,17N,8,5,2021,Salt Flats,TGM,BOBU,100.7125,114.1093568,08/05/2021,9,BOBU
261,17N,8,5,2021,Sandy,TGM,BOBU,190.4875,113.8265141,08/05/2021,9,BOBU
246,17N,8,5,2021,Loamy,TGM,C3PG,209.35,260.8870469,08/05/2021,9,CSPG
254,17N,8,5,2021,Salt Flats,TGM,C3PG,1072.8625,631.7115206,08/05/2021,9,CSPG
262,17N,8,5,2021,Sandy,TGM,C3PG,769.85,251.9067908,08/05/2021,9,CSPG
248,17N,8,5,2021,Loamy,TGM,FORB,536.4625,370.5769864,08/05/2021,9,FRB3
256,17N,8,5,2021,Salt Flats,TGM,FORB,310.9375,423.0443095,08/05/2021,9,FRB3
264,17N,8,5,2021,Sandy,TGM,FORB,774.5875,172.6931536,08/05/2021,9,FRB3
249,17N,8,5,2021,Loamy,TGM,SD,3.35,0.212132034,08/05/2021,9,SD
257,17N,8,5,2021,Salt Flats,TGM,SD,94.2,103.025458,08/05/2021,9,SD
265,17N,8,5,2021,Sandy,TGM,SD,2.8625,2.916815472,08/05/2021,9,SD
250,17N,8,5,2021,Loamy,TGM,SS,0,0,08/05/2021,9,SSHB
258,17N,8,5,2021,Salt Flats,TGM,SS,0,0,08/05/2021,9,SSHB
266,17N,8,5,2021,Sandy,TGM,SS,0,0,08/05/2021,9,SSHB
251,17N,8,5,2021,Loamy,TGM,VUOC,58.525,48.71965722,08/05/2021,9,VUOC
259,17N,8,5,2021,Salt Flats,TGM,VUOC,2.3625,3.341079541,08/05/2021,9,VUOC
267,17N,8,5,2021,Sandy,TGM,VUOC,34.225,16.36952198,08/05/2021,9,VUOC
252,17N,8,5,2021,Loamy,TGM,WSPG,108.6625,153.6719812,08/05/2021,9,WSPG
260,17N,8,5,2021,Salt Flats,TGM,WSPG,1217.3375,96.39633195,08/05/2021,9,WSPG
268,17N,8,5,2021,Sandy,TGM,WSPG,126.85,161.5385442,08/05/2021,9,WSPG
295,17S,8,5,2013,Salt Flats,AGM,BOBU,342.075,29.76919549,08/05/2013,19,BOBU
301,17S,8,5,2013,Loamy,AGM,BOBU,326.6125,115.8064131,08/05/2013,19,BOBU
304,17S,8,5,2013,Sandy,AGM,BOBU,345.8,125.4053876,08/05/2013,19,BOBU
291,17S,8,5,2013,Loamy,AGM,C3PG,194.225,193.8179687,08/05/2013,19,CSPG
296,17S,8,5,2013,Salt Flats,AGM,C3PG,659.35,295.5706345,08/05/2013,19,CSPG
332,17S,8,5,2013,Sandy,AGM,C3PG,473.125,459.0537223,08/05/2013,19,CSPG
294,17S,8,5,2013,Sandy,AGM,FORB,19.175,6.75286976,08/05/2013,19,FRB3
303,17S,8,5,2013,Salt Flats,AGM,FORB,42.725,52.0430591,08/05/2013,19,FRB3
318,17S,8,5,2013,Loamy,AGM,FORB,51.25,4.949747468,08/05/2013,19,FRB3
299,17S,8,5,2013,Sandy,AGM,SD,595.5125,575.4258209,08/05/2013,19,SD
319,17S,8,5,2013,Loamy,AGM,SD,379.225,129.8601604,08/05/2013,19,SD
327,17S,8,5,2013,Salt Flats,AGM,SD,883.5125,44.24720683,08/05/2013,19,SD
293,17S,8,5,2013,Loamy,AGM,SS,11.8375,16.74075304,08/05/2013,19,SSHB
300,17S,8,5,2013,Sandy,AGM,SS,0,0,08/05/2013,19,SSHB
328,17S,8,5,2013,Salt Flats,AGM,SS,182.05,206.2630481,08/05/2013,19,SSHB
289,17S,8,5,2013,Loamy,AGM,VUOC,9.75,0.671751442,08/05/2013,19,VUOC
297,17S,8,5,2013,Sandy,AGM,VUOC,0.7375,1.042982502,08/05/2013,19,VUOC
329,17S,8,5,2013,Salt Flats,AGM,VUOC,0.475,0.671751442,08/05/2013,19,VUOC
322,17S,8,5,2013,Loamy,AGM,WSPG,89.4125,53.19210761,08/05/2013,19,WSPG
330,17S,8,5,2013,Salt Flats,AGM,WSPG,397.6625,34.1709352,08/05/2013,19,WSPG
419,17S,8,5,2013,Sandy,AGM,WSPG,71.45,46.24478349,08/05/2013,19,WSPG
305,17S,8,5,2014,Loamy,AGM,BOBU,414.4875,50.11619312,08/05/2014,19,BOBU
313,17S,8,5,2014,Salt Flats,AGM,BOBU,497.575,46.03265146,08/05/2014,19,BOBU
321,17S,8,5,2014,Sandy,AGM,BOBU,211.5125,219.0086478,08/05/2014,19,BOBU
306,17S,8,5,2014,Loamy,AGM,C3PG,354.2,201.0304579,08/05/2014,19,CSPG
314,17S,8,5,2014,Salt Flats,AGM,C3PG,820.3375,342.6816238,08/05/2014,19,CSPG
362,17S,8,5,2014,Sandy,AGM,C3PG,1108.2125,1475.325266,08/05/2014,19,CSPG
308,17S,8,5,2014,Loamy,AGM,FORB,116.3125,147.3787309,08/05/2014,19,FRB3
