Year,Block,Treatment,Pasture,Ecosite,C3PGObj,Plot,Transect,Distance,BOBU,WSPG,VUOC,C3PG,FORB,SS,C4PG,SD,Forage,HERB
2013,1,AGM,NH,Loamy,NonMCLO,4,4,10,451,0,11.8,164.7,79.7,0,451,23.7,707.2,707.2
2013,1,AGM,NH,Loamy,NonMCLO,4,4,20,465.5,0,214.7,142.1,170.1,0,465.5,10.2,992.4,992.4
2013,1,TGM,15E,Loamy,NonMCLO,1,1,10,297.1,0,164.7,23.1,151.8,0,297.1,9.7,636.7,636.7
2013,1,TGM,15E,Loamy,NonMCLO,1,4,10,540.9,0,5.9,0,0,0,540.9,5.4,546.8,546.8
2013,1,TGM,15E,Loamy,NonMCLO,1,4,20,685.1,0,2.2,18.8,28,0,685.1,6.5,734.1,734.1
2013,1,TGM,15E,Loamy,NonMCLO,2,1,10,430.6,0,250.3,0,1.6,0,430.6,0,682.4,682.4
2013,1,TGM,15E,Loamy,NonMCLO,2,1,20,569.4,0,0,171.7,74.8,0,569.4,2.2,815.9,815.9
2013,1,TGM,15E,Loamy,NonMCLO,2,4,10,525.8,183,9.1,0,35.5,0,708.8,4.3,936.5,936.5
2013,1,TGM,15E,Loamy,NonMCLO,2,4,20,515.6,0,0,0,40.4,0,515.6,4.8,556,556
2013,1,TGM,15E,Loamy,NonMCLO,3,1,10,331.5,0,0,122.7,0,0,331.5,7.5,454.2,454.2
2013,1,TGM,15E,Loamy,NonMCLO,3,4,10,262.6,0,0,51.7,62.4,0,262.6,4.8,376.7,376.7
2013,1,TGM,15E,Loamy,NonMCLO,3,4,20,585.6,0,101.2,87.7,0,1107.6,585.6,14.5,774.5,774.5
2013,1,TGM,15E,Loamy,NonMCLO,4,1,10,566.7,0,16.7,91.5,18.3,0,566.7,8.6,693.2,693.2
2013,1,TGM,15E,Loamy,NonMCLO,4,1,20,425.2,0,9.7,165.2,105.5,0,425.2,7.5,705.6,705.6
2013,1,TGM,15E,Loamy,NonMCLO,4,4,10,896.6,0,107.6,160.4,28,0,896.6,4.8,1192.6,1192.6
2013,1,TGM,15E,Loamy,NonMCLO,4,4,20,599,0,0,0,36.6,0,599,3.8,635.6,635.6
2013,2,AGM,21N,Loamy,NonMCLO,1,1,10,334.8,18.3,0,133.5,11.3,0,353.1,62.4,516.1,516.1
2013,2,AGM,21N,Loamy,NonMCLO,1,1,20,277.2,19.4,0,0,0,0,296.5,20.5,315.9,315.9
2013,2,AGM,21N,Loamy,NonMCLO,1,4,10,315.9,0,0,44.7,67.8,225,315.9,17.2,428.4,428.4
2013,2,AGM,21N,Loamy,NonMCLO,1,4,20,297.1,117.9,0,9.7,24.2,0,414.9,4.8,566.7,566.7
2013,2,AGM,21N,Loamy,NonMCLO,2,1,10,446.7,0,0,4.3,8.1,0,446.7,43.6,459.1,459.1
2013,2,AGM,21N,Loamy,NonMCLO,2,1,20,585,0,0,98,3.8,0,585,50.6,686.7,686.7
2013,2,AGM,21N,Loamy,NonMCLO,2,4,20,1018.8,0,50.6,3.8,28,0,1018.8,29.1,1101.1,1101.1
2013,2,AGM,21N,Loamy,NonMCLO,3,1,10,376.7,24.2,0,178.1,31.8,0,401,45.7,635.1,635.1
2013,2,AGM,21N,Loamy,NonMCLO,3,1,20,285.8,0,0,0,0,0,285.8,21.5,285.8,285.8
2013,2,AGM,21N,Loamy,NonMCLO,3,4,10,472.5,0,5.4,3.2,165.8,768.5,472.5,0,646.9,646.9
2013,2,AGM,21N,Loamy,NonMCLO,3,4,20,288.5,18.3,0,96.9,568.9,903.1,306.8,9.1,990.8,990.8
2013,2,AGM,21N,Loamy,NonMCLO,4,1,10,155.5,250.8,0,104.9,297.6,0,406.3,18.3,1059.7,1059.7
2013,2,AGM,21N,Loamy,NonMCLO,4,1,20,192.1,0,0,559.7,2.7,0,192.1,6.5,754.6,754.6
2013,2,AGM,21N,Loamy,NonMCLO,4,4,10,824,0,1.6,109.3,29.1,72.7,824,12.9,963.9,963.9
2013,2,AGM,21N,Loamy,NonMCLO,4,4,20,223.4,0,0,2.2,3.2,0,223.4,2.2,228.7,228.7
2013,2,TGM,24W,Loamy,NonMCLO,1,1,10,105.5,51.7,151.2,2.2,99,0,157.2,98.5,461.2,461.2
2013,2,TGM,24W,Loamy,NonMCLO,1,1,20,299.8,0,78.6,0,39.8,0,299.8,37.1,418.2,418.2
2013,2,TGM,24W,Loamy,NonMCLO,1,4,10,320.2,0,0,52.2,19.4,0,320.2,38.2,391.8,391.8
2013,2,TGM,24W,Loamy,NonMCLO,1,4,20,631.3,0,4.8,0,35.5,0,631.3,57.6,671.7,671.7
2013,2,TGM,24W,Loamy,NonMCLO,2,1,10,458,0,136.7,0,13.5,0,458,13.5,608.2,608.2
2013,2,TGM,24W,Loamy,NonMCLO,2,1,20,189.4,0,61.4,0,5.9,0,189.4,148.5,256.7,256.7
2013,2,TGM,24W,Loamy,NonMCLO,2,4,10,258.9,0,4.3,35.5,9.1,0,258.9,167.4,307.8,307.8
2013,2,TGM,24W,Loamy,NonMCLO,2,4,20,260.5,57,0,186.2,7,64,317.5,468.8,567.8,567.8
2013,2,TGM,24W,Loamy,NonMCLO,3,1,10,233.6,0,5.4,51.7,0,0,233.6,68.9,290.6,290.6
2013,2,TGM,24W,Loamy,NonMCLO,3,1,20,365.4,0,128.6,6.5,268.6,0,365.4,57.6,769.1,769.1
2013,2,TGM,24W,Loamy,NonMCLO,3,4,10,868.6,12.4,0,0,9.1,0,881,156.1,902.6,902.6
2013,2,TGM,24W,Loamy,NonMCLO,4,1,10,320.8,17.2,0,0,33.9,0,338,59.2,389.1,389.1
2013,2,TGM,24W,Loamy,NonMCLO,4,1,20,594.2,0,0,48.4,59.7,0,594.2,84,702.3,702.3
2013,2,TGM,24W,Loamy,NonMCLO,4,4,10,277.2,0,59.2,40.4,155,0,277.2,6.5,531.7,531.7
2013,2,TGM,24W,Loamy,NonMCLO,4,4,20,555.4,0,14,0,14.5,0,555.4,60.3,583.9,583.9
2013,3,AGM,26W,Loamy,MCLO,1,1,10,236.8,0,70,17.2,10.8,0,236.8,11.3,334.8,334.8
2013,3,AGM,26W,Loamy,MCLO,1,1,20,153.9,0,122.7,175.5,14,0,153.9,7.5,466.1,466.1
2013,3,AGM,26W,Loamy,MCLO,1,4,10,275.6,0,173.3,125.9,318.6,0,275.6,7,893.4,893.4
2013,3,AGM,26W,Loamy,MCLO,1,4,20,403.1,33.9,145.3,301.9,184.6,0,437,10.8,1102.8,1102.8
2013,3,AGM,26W,Loamy,MCLO,2,1,10,276.6,0,189.4,52.7,30.7,0,276.6,10.2,549.5,549.5
2013,3,AGM,26W,Loamy,MCLO,2,1,20,341.8,0,68.4,19.9,35,0,341.8,15.6,465,465
2013,3,AGM,26W,Loamy,MCLO,2,4,10,386.4,0,24.2,4.3,0,0,386.4,25.3,414.9,414.9
2013,3,AGM,26W,Loamy,MCLO,2,4,20,305.7,0,0,35,19.4,0,305.7,10.2,360.1,360.1
2013,3,AGM,26W,Loamy,MCLO,3,1,10,198.1,8.6,428.4,185.1,341.8,0,206.7,10.2,1170.6,1170.6
2013,3,AGM,26W,Loamy,MCLO,3,1,20,375.1,0,291.2,474.2,658.2,0,375.1,19.4,1798.7,1798.7
2013,3,AGM,26W,Loamy,MCLO,3,4,10,220.7,9.7,181.4,0,22.1,0,230.3,32.3,443.5,443.5
2013,3,AGM,26W,Loamy,MCLO,3,4,20,190.5,0,198.1,0,0,0,190.5,10.8,388.6,388.6
2013,3,AGM,26W,Loamy,MCLO,4,1,10,87.7,0,262.6,84.5,0,0,87.7,15.1,434.9,434.9
2013,3,AGM,26W,Loamy,MCLO,4,1,20,76.4,35.5,57.6,101.2,0,0,111.9,9.1,306.2,306.2
2013,3,AGM,26W,Loamy,MCLO,4,4,10,223.4,0,2.7,0,0,0,223.4,4.8,226,226
2013,3,AGM,26W,Loamy,MCLO,4,4,20,318.6,0,204.5,54.9,148,0,318.6,11.8,726,726
2013,3,TGM,26E,Loamy,MCLO,1,1,10,387,0,17.2,33.4,31.2,0,387,16.7,468.8,468.8
2013,3,TGM,26E,Loamy,MCLO,1,1,20,509.7,0,85.6,92.6,21.5,0,509.7,15.1,709.3,709.3
2013,3,TGM,26E,Loamy,MCLO,1,4,10,333.7,0,19.4,39.8,0,0,333.7,8.6,392.9,392.9
2013,3,TGM,26E,Loamy,MCLO,1,4,20,410.1,0,67.3,4.3,7.5,0,410.1,14,489.2,489.2
2013,3,TGM,26E,Loamy,MCLO,2,1,10,435.4,0,3.8,49,8.1,103.9,435.4,14.5,496.2,496.2
2013,3,TGM,26E,Loamy,MCLO,2,1,20,451,0,2.2,0,4.8,351.4,451,7.5,458,458
2013,3,TGM,26E,Loamy,MCLO,2,4,20,123.2,0,20.5,52.7,21,0,123.2,61.4,217.4,217.4
2013,3,TGM,26E,Loamy,MCLO,3,1,10,159.3,0,63,46.3,0,0,159.3,96.3,268.6,268.6
2013,3,TGM,26E,Loamy,MCLO,3,1,20,306.8,3.2,29.1,150.2,0,0,310,78.6,492.4,492.4
2013,3,TGM,26E,Loamy,MCLO,3,4,10,269.1,0,77,6.5,35,0,269.1,91.5,387.5,387.5
2013,3,TGM,26E,Loamy,MCLO,3,4,20,432.2,196.4,142.6,49.5,263.7,0,628.6,145.9,1280.9,1280.9
2013,3,TGM,26E,Loamy,MCLO,4,1,10,282.6,0,72.7,15.1,5.9,0,282.6,101.7,376.2,376.2
2013,3,TGM,26E,Loamy,MCLO,4,1,20,175.5,7.5,190.5,126.5,0,0,183,87.2,507.5,507.5
2013,3,TGM,26E,Loamy,MCLO,4,4,10,116.8,0,14.5,0,0,0,116.8,30.1,131.3,131.3
2013,3,TGM,26E,Loamy,MCLO,4,4,20,253.5,64.6,15.1,45.7,18.3,0,318.1,59.2,461.8,461.8
2013,4,AGM,25NW,Loamy,MCLO,1,1,10,380.5,0,4.8,53.3,4.3,0,380.5,44.7,442.9,442.9
2013,4,AGM,25NW,Loamy,MCLO,1,1,20,397.2,45.2,22.1,42,15.1,0,442.4,59.2,566.7,566.7
2013,4,AGM,25NW,Loamy,MCLO,1,4,10,180.3,0,33.9,81.3,50.6,0,180.3,40.9,346.1,346.1
2013,4,AGM,25NW,Loamy,MCLO,1,4,20,333.1,0,10.8,285.2,0,0,333.1,6.5,629.2,629.2
2013,4,AGM,25NW,Loamy,MCLO,2,1,10,298.7,23.1,15.1,130.2,3.2,0,321.8,24.8,493.5,493.5
2013,4,AGM,25NW,Loamy,MCLO,2,1,20,347.1,15.1,3.8,137.8,147.5,0,362.2,7,666.3,666.3
2013,4,AGM,25NW,Loamy,MCLO,2,4,10,282,15.1,122.2,77,1360.6,0,297.1,8.1,1871.8,1871.8
2013,4,AGM,25NW,Loamy,MCLO,2,4,20,382.1,59.2,197,130.2,452.1,0,441.3,10.8,1279.8,1279.8
2013,4,AGM,25NW,Loamy,MCLO,3,1,10,417.6,20.5,9.1,162.5,5.4,0,438.1,47.9,635.6,635.6
2013,4,AGM,25NW,Loamy,MCLO,3,1,20,72.7,13.5,41.4,207.7,18.8,0,86.1,16.1,367.6,367.6
2013,4,AGM,25NW,Loamy,MCLO,3,4,10,363.8,42,0,192.7,39.8,0,405.8,41.4,680.3,680.3
2013,4,AGM,25NW,Loamy,MCLO,3,4,20,118.4,414.9,0,35,11.8,0,533.4,139.4,995.1,995.1
2013,4,AGM,25NW,Loamy,MCLO,4,1,10,153.4,0,262.1,167.4,0,0,153.4,59.2,582.9,582.9
2013,4,AGM,25NW,Loamy,MCLO,4,1,20,122.2,0,8.1,0,0,0,122.2,5.4,130.2,130.2
2013,4,AGM,25NW,Loamy,MCLO,4,4,10,439.7,13.5,24.2,130.8,70,0,453.2,61.9,691.6,691.6
2013,4,AGM,25NW,Loamy,MCLO,4,4,20,192.7,5.4,0,0,102.8,0,198.1,13.5,306.2,306.2
2013,4,TGM,25SE,Loamy,MCLO,1,1,10,284.2,0,3.8,91,0,0,284.2,90.4,378.9,378.9
2013,4,TGM,25SE,Loamy,MCLO,1,1,20,335.3,0,2.2,18.3,100.1,0,335.3,122.2,455.9,455.9
2013,4,TGM,25SE,Loamy,MCLO,1,4,10,163.6,0,86.6,2.7,0,0,163.6,60.8,253,253
2013,4,TGM,25SE,Loamy,MCLO,1,4,20,454.8,0,192.1,115.7,5.9,0,454.8,22.1,768.5,768.5
2013,4,TGM,25SE,Loamy,MCLO,2,1,20,498.9,0,18.3,8.6,3.8,0,498.9,22.6,529.6,529.6
2013,4,TGM,25SE,Loamy,MCLO,2,4,10,197.5,21.5,38.2,29.1,1.1,0,219,45.7,308.9,308.9
2013,4,TGM,25SE,Loamy,MCLO,2,4,20,417.1,0,21.5,0,16.1,0,417.1,80.7,454.8,454.8
2013,4,TGM,25SE,Loamy,MCLO,3,1,10,262.1,21,3.2,152.3,553.8,0,283.1,276.1,1013.4,1013.4
2013,4,TGM,25SE,Loamy,MCLO,3,1,20,326.7,37.7,0,88.3,8.6,0,364.4,216.9,498.9,498.9
2013,4,TGM,25SE,Loamy,MCLO,3,4,10,126.5,73.7,3.2,191.6,221.2,0,200.2,354.7,690,690
2013,4,TGM,25SE,Loamy,MCLO,3,4,20,335.3,0,0,0,3.8,0,335.3,95.3,339.1,339.1
2013,4,TGM,25SE,Loamy,MCLO,4,1,10,593.1,0,3.2,0,0,0,593.1,37.1,596.3,596.3
2013,4,TGM,25SE,Loamy,MCLO,4,1,20,381.6,0,3.2,49.5,19.4,0,381.6,18.3,453.7,453.7
2013,4,TGM,25SE,Loamy,MCLO,4,4,10,0,0,0,0,528,0,0,0,528,528
2013,4,TGM,25SE,Loamy,MCLO,4,4,20,490.8,0,0,0,100.1,0,490.8,117.9,590.9,590.9
2013,5,AGM,31W,Loamy,MCLO,1,1,10,456.4,0,0,43.1,102.3,0,456.4,362.2,601.7,601.7
2013,5,AGM,31W,Loamy,MCLO,1,1,20,394.5,0,0,16.1,23.7,0,394.5,131.9,434.3,434.3
2013,5,AGM,31W,Loamy,MCLO,1,4,10,536,0,0,984.9,43.1,0,536,64.6,1564,1564
2013,5,AGM,31W,Loamy,MCLO,1,4,20,34.4,0,0,1.1,297.6,0,34.4,17.2,333.1,333.1
2013,5,AGM,31W,Loamy,MCLO,2,1,10,127,0,0,0,10.2,0,127,91.5,137.2,137.2
2013,5,AGM,31W,Loamy,MCLO,2,1,20,304.6,0,0,3.8,30.7,0,304.6,57.6,339.1,339.1
2013,5,AGM,31W,Loamy,MCLO,2,4,10,262.1,0,0,0,53.3,0,262.1,43.6,315.4,315.4
2013,5,AGM,31W,Loamy,MCLO,2,4,20,455.3,0,0,32.3,0,0,455.3,261.6,487.6,487.6
2013,5,AGM,31W,Loamy,MCLO,3,1,10,348.2,0,0,0,21,0,348.2,182.4,369.2,369.2
2013,5,AGM,31W,Loamy,MCLO,3,4,10,542,0,0,0,0,0,542,264.8,542,542
2013,5,AGM,31W,Loamy,MCLO,3,4,20,847.7,0,0,0,0,0,847.7,124.9,847.7,847.7
2013,5,AGM,31W,Sandy,MCLO,4,1,10,175.5,0,0,1046.8,11.3,0,175.5,405.8,1233.5,1233.5
2013,5,AGM,31W,Sandy,MCLO,4,1,20,211.5,30.1,0,39.3,0,0,241.6,181.4,311.1,311.1
2013,5,AGM,31W,Sandy,MCLO,4,4,10,289.5,0,0,49,9.1,0,289.5,265.3,347.7,347.7
2013,5,AGM,31W,Sandy,MCLO,4,4,20,333.1,102.8,0,87.2,192.7,0,435.9,312.2,818.6,818.6
2013,5,TGM,31E,Loamy,MCLO,1,1,10,600.1,0,0,21.5,13.5,0,600.1,135.6,635.1,635.1
2013,5,TGM,31E,Loamy,MCLO,1,1,20,455.9,0,0,100.1,0,0,455.9,133.5,556,556
2013,5,TGM,31E,Loamy,MCLO,1,4,10,256.7,0,0,18.3,31.2,0,256.7,84.5,306.2,306.2
2013,5,TGM,31E,Loamy,MCLO,1,4,20,452.1,0,0,0,33.9,0,452.1,244.9,486,486
2013,5,TGM,31E,Loamy,MCLO,2,1,10,135.1,4.3,0,29.1,0,0,139.4,103.9,172.8,172.8
2013,5,TGM,31E,Loamy,MCLO,2,1,20,446.2,0,0,9.1,387.5,0,446.2,64,842.8,842.8
2013,5,TGM,31E,Loamy,MCLO,2,4,10,220.7,0,0,26.9,36.6,0,220.7,43.1,284.2,284.2
2013,5,TGM,31E,Loamy,MCLO,2,4,20,340.1,0,0,4.3,16.7,0,340.1,93.6,361.1,361.1
2013,5,TGM,31E,Loamy,MCLO,3,1,10,474.7,46.3,0,68.4,18.8,0,521,94.7,654.4,654.4
2013,5,TGM,31E,Loamy,MCLO,3,1,20,349.3,0,0,0,118.4,0,349.3,8.1,467.7,467.7
2013,5,TGM,31E,Loamy,MCLO,3,4,20,306.2,0,0,2.2,15.1,0,306.2,53.8,323.5,323.5
2013,5,TGM,31E,Sandy,MCLO,4,1,10,251.9,0,0,5.4,18.8,0,251.9,76.4,276.1,276.1
2013,5,TGM,31E,Sandy,MCLO,4,1,20,181.4,0,0,0,0,0,181.4,32.8,181.4,181.4
2013,5,TGM,31E,Sandy,MCLO,4,4,10,261.6,0,0,31.2,49.5,0,261.6,34.4,342.3,342.3
2013,5,TGM,31E,Sandy,MCLO,4,4,20,173.3,60.8,0,0,409,0,234.1,123.2,704,704
2013,6,AGM,18S,Sandy,(blank),1,1,10,359.5,89.9,0,28.5,1054.3,0,449.4,618.4,1622.1,1622.1
2013,6,AGM,18S,Sandy,(blank),1,1,20,355.2,23.1,0,0,282.6,0,378.4,177.1,684,684
2013,6,AGM,18S,Sandy,(blank),1,4,10,149.6,11.3,0,435.9,18.8,0,160.9,51.1,627,627
2013,6,AGM,18S,Sandy,(blank),1,4,20,163.1,0,0,409,0,0,163.1,114.6,572.1,572.1
2013,6,AGM,18S,Sandy,(blank),2,1,10,60.8,0,0,948.8,0,0,60.8,117.3,1009.7,1009.7
2013,6,AGM,18S,Sandy,(blank),2,1,20,91.5,16.7,0,626.5,0.3,0,108.2,101.7,751.6,751.6
2013,6,AGM,18S,Sandy,(blank),2,4,10,485.5,0,0,140.5,0,73.7,485.5,70.5,625.9,625.9
2013,6,AGM,18S,Sandy,(blank),2,4,20,562.4,0,0,11.8,74.8,0,562.4,31.8,649.1,649.1
2013,6,AGM,18S,Sandy,(blank),3,1,10,594.2,0,0,49,26.4,0,594.2,37.1,669.5,669.5
2013,6,AGM,18S,Sandy,(blank),3,1,20,266.4,0,0,83.4,0,0,266.4,24.8,349.8,349.8
2013,6,AGM,18S,Sandy,(blank),3,4,10,122.2,0,0,357.9,11.8,0,122.2,236.8,491.9,491.9
2013,6,AGM,18S,Sandy,(blank),3,4,20,477.9,66.7,0,0,25.8,33.9,544.7,52.2,637.2,637.2
2013,6,AGM,18S,Sandy,(blank),4,1,10,438.1,0,0,35,8.1,0,438.1,59.7,481.1,481.1
2013,6,AGM,18S,Sandy,(blank),4,1,20,486,0,0,64.6,59.7,246,486,228.7,610.3,610.3
2013,6,AGM,18S,Sandy,(blank),4,4,10,214.7,266.4,0,0,111.9,0,481.1,56.5,859.5,859.5
2013,6,AGM,18S,Sandy,(blank),4,4,20,182.4,268.6,0,65.1,0,0,451,797.6,784.7,784.7
2013,6,TGM,19N,Sandy,(blank),1,1,10,391.8,0,0,568.3,530.1,0,391.8,207.2,1490.3,1490.3
2013,6,TGM,19N,Sandy,(blank),1,1,20,69.4,186.8,0,120,636.1,0,256.2,56.5,1199.1,1199.1
2013,6,TGM,19N,Sandy,(blank),1,4,10,99,111.9,0,434.3,21.5,0,211,15.1,778.8,778.8
2013,6,TGM,19N,Sandy,(blank),1,4,20,199.1,53.8,0,816.4,22.1,0,253,132.4,1145.3,1145.3
2013,6,TGM,19N,Sandy,(blank),2,1,10,297.6,31.2,0,437.6,10.2,211.5,328.8,174.4,807.8,807.8
2013,6,TGM,19N,Sandy,(blank),2,1,20,393.4,0,0,18.8,59.7,0,393.4,95.8,472,472
2013,6,TGM,19N,Sandy,(blank),2,4,10,128.1,0,0,864.3,3.2,0,128.1,265.3,995.7,995.7
2013,6,TGM,19N,Sandy,(blank),2,4,20,255.6,124.9,0,11.3,5.9,0,380.5,248.6,522.6,522.6
2013,6,TGM,19N,Sandy,(blank),3,1,10,36.1,508.6,0,380,0,0,544.7,453.2,1433.2,1433.2
2013,6,TGM,19N,Sandy,(blank),3,1,20,134,91.5,0,347.7,7.5,0,225.5,369.2,672.2,672.2
2013,6,TGM,19N,Sandy,(blank),3,4,10,332.1,0,0,114.6,10.2,0,332.1,4.8,456.9,456.9
2013,6,TGM,19N,Sandy,(blank),3,4,20,260.5,0,0,0,57,0,260.5,5.4,317.5,317.5
2013,6,TGM,19N,Sandy,(blank),4,1,10,426.3,82.9,0,0,42,0,509.1,171.7,634,634
2013,6,TGM,19N,Sandy,(blank),4,1,20,307.8,0,0,348.8,0,93.6,307.8,92,656.6,656.6
2013,6,TGM,19N,Sandy,(blank),4,4,10,332.1,0,0,41.4,3.8,0,332.1,9.7,377.3,377.3
2013,6,TGM,19N,Sandy,(blank),4,4,20,68.4,0,0,40.9,674.4,0,68.4,5.4,783.6,783.6
2013,7,AGM,7SE,Loamy,NonMCLO,1,1,10,469.3,0,0,0,143.2,0,469.3,21,612.5,612.5
2013,7,AGM,7SE,Loamy,NonMCLO,1,1,20,926.8,0,0,0,16.1,0,926.8,84,942.9,942.9
2013,7,AGM,7SE,Loamy,NonMCLO,1,4,10,504.8,265.3,0,0,83.4,0,770.2,98.5,1118.9,1118.9
2013,7,AGM,7SE,Loamy,NonMCLO,1,4,20,1102.2,0,0,72.1,8.1,0,1102.2,45.2,1182.4,1182.4
2013,7,AGM,7SE,Loamy,NonMCLO,2,1,10,907.4,65.1,3.2,108.2,100.1,0,972.5,94.7,1249.2,1249.2
2013,7,AGM,7SE,Loamy,NonMCLO,2,1,20,792.8,0,0,0,60.3,0,792.8,74.8,853,853
2013,7,AGM,7SE,Loamy,NonMCLO,2,4,10,1607.1,0,0,18.8,0,0,1607.1,143.7,1625.9,1625.9
2013,7,AGM,7SE,Loamy,NonMCLO,2,4,20,606,51.7,0,158.2,0,0,657.7,39.8,867.6,867.6
2013,7,AGM,7SE,Loamy,NonMCLO,3,1,10,707.2,0,0,220.1,27.4,0,707.2,104.4,954.8,954.8
2013,7,AGM,7SE,Loamy,NonMCLO,3,1,20,372.4,193.8,0,484.9,0.5,0,566.2,234.1,1245.4,1245.4
2013,7,AGM,7SE,Loamy,NonMCLO,3,4,10,262.6,87.7,0,782.5,8.6,0,350.4,51.7,1229.2,1229.2
2013,7,AGM,7SE,Loamy,NonMCLO,3,4,20,774.5,0,0,27.4,23.1,0,774.5,160.9,825.1,825.1
2013,7,AGM,7SE,Salt Flats,(blank),5,1,10,462.8,27.4,0,110.3,4.8,170.1,490.3,350.4,632.9,632.9
2013,7,AGM,7SE,Salt Flats,(blank),5,1,20,110.3,253,0,808.4,367.6,0,363.3,25.3,1792.2,1792.2
2013,7,AGM,7SE,Salt Flats,(blank),5,4,10,578,0,2.7,911.2,87.2,0,578,67.8,1579.1,1579.1
2013,7,AGM,7SE,Salt Flats,(blank),5,4,20,174.4,111.9,0,1312.7,36.1,0,286.3,33.4,1747,1747
2013,7,AGM,7SE,Salt Flats,(blank),6,1,10,614.6,73.7,0,341.2,11.3,0,688.4,606,1114.6,1114.6
2013,7,AGM,7SE,Salt Flats,(blank),6,1,20,9.1,1017.7,0,171.7,4.3,0,1026.9,240.6,2220.6,2220.6
2013,7,AGM,7SE,Salt Flats,(blank),6,4,10,267.5,1458,0,303.5,4.3,0,1725.5,544.1,3491.3,3491.3
2013,7,AGM,7SE,Salt Flats,(blank),6,4,20,159.8,609.2,0,266.9,50.6,0,769.1,362.7,1695.9,1695.9
2013,7,AGM,7SE,Sandy,(blank),4,1,10,948.3,31.8,0,107.6,0,0,980.1,64.6,1119.4,1119.4
2013,7,AGM,7SE,Sandy,(blank),4,1,20,693.7,72.1,0,5.9,0,0,765.9,277.2,843.9,843.9
2013,7,AGM,7SE,Sandy,(blank),4,4,10,445.6,135.1,4.3,195.9,0,0,580.7,44.7,916,916
2013,7,AGM,7SE,Sandy,(blank),4,4,20,216.4,205.1,0,495.1,210.4,0,421.4,221.7,1332,1332
2013,7,TGM,7NW,Loamy,NonMCLO,1,1,10,786.8,0,0,0,1093.1,0,786.8,232.5,1879.9,1879.9
2013,7,TGM,7NW,Loamy,NonMCLO,1,1,20,682.4,0,0,0,16.7,0,682.4,114.1,699.1,699.1
2013,7,TGM,7NW,Loamy,NonMCLO,1,4,10,1057,14,0,0,4.8,0,1071,253,1089.8,1089.8
2013,7,TGM,7NW,Loamy,NonMCLO,1,4,20,638.8,0,0,0,33.9,0,638.8,149.6,672.7,672.7
2013,7,TGM,7NW,Loamy,NonMCLO,2,1,10,158.2,282,0,0,185.1,246,440.2,83.4,907.4,907.4
2013,7,TGM,7NW,Loamy,NonMCLO,2,1,20,838.5,0,0,0,10.2,0,838.5,263.7,848.7,848.7
2013,7,TGM,7NW,Loamy,NonMCLO,2,4,10,889.1,0,12.4,108.2,12.9,0,889.1,151.2,1022.6,1022.6
2013,7,TGM,7NW,Loamy,NonMCLO,2,4,20,886.9,13.5,36.1,0,148.5,0,900.4,123.2,1098.5,1098.5
2013,7,TGM,7NW,Loamy,NonMCLO,4,1,10,764.2,22.1,8.6,396.7,130.8,0,786.3,153.4,1344.4,1344.4
2013,7,TGM,7NW,Loamy,NonMCLO,4,1,20,690.5,10.2,84.5,86.1,3.8,0,700.7,126.5,885.3,885.3
2013,7,TGM,7NW,Loamy,NonMCLO,4,4,10,355.2,0,7,57,8.6,26.9,355.2,96.9,427.9,427.9
2013,7,TGM,7NW,Loamy,NonMCLO,4,4,20,366.5,285.8,0,49,15.6,453.2,652.3,183.5,1002.7,1002.7
