site,depth.cm,date,vwc.daily
15E,10,9/15/2018,2.006835846
15E,10,9/16/2018,2.008193516
15E,10,9/17/2018,2.002515898
15E,10,9/18/2018,1.997023393
15E,10,9/19/2018,1.987912673
15E,10,9/20/2018,1.989663484
15E,10,9/21/2018,1.984001005
15E,10,9/22/2018,1.990670688
15E,10,9/23/2018,1.985051846
15E,10,9/24/2018,1.97880858
15E,10,9/25/2018,1.955266546
15E,10,9/26/2018,1.948559772
15E,10,9/27/2018,1.948135581
15E,10,9/28/2018,1.914050514
15E,10,9/29/2018,1.936727593
15E,10,9/30/2018,1.937640715
15E,10,10/1/2018,1.966806268
15E,10,10/2/2018,1.988600147
15E,10,10/3/2018,2.00141929
15E,10,10/4/2018,1.973945142
15E,10,10/5/2018,1.955753137
15E,10,10/6/2018,1.951003041
15E,10,10/7/2018,1.944541915
15E,10,10/8/2018,2.015863157
15E,10,10/9/2018,2.05229254
15E,10,10/10/2018,2.062614876
15E,10,10/11/2018,2.086386714
15E,10,10/12/2018,2.131306508
15E,10,10/13/2018,2.173381405
15E,10,10/14/2018,2.259416087
15E,10,10/15/2018,2.959838138
15E,10,10/16/2018,4.952171656
15E,10,10/17/2018,5.419043769
15E,10,10/18/2018,5.133118892
15E,10,10/19/2018,4.995127486
15E,10,10/20/2018,4.878766997
15E,10,10/21/2018,4.812746474
15E,10,10/22/2018,4.755006487
15E,10,10/23/2018,4.647501094
15E,10,10/24/2018,4.586786217
15E,10,10/25/2018,4.469315035
15E,10,10/26/2018,4.407392788
15E,10,10/27/2018,4.365900326
15E,10,10/28/2018,4.285975005
15E,10,10/29/2018,4.261396618
15E,10,10/30/2018,4.144477184
15E,10,10/31/2018,4.044479924
15E,10,11/1/2018,3.969108645
15E,10,11/2/2018,3.971966743
15E,10,11/3/2018,3.913747249
15E,10,11/4/2018,3.814923091
15E,10,11/5/2018,3.803863848
15E,10,11/6/2018,3.704746446
15E,10,11/7/2018,3.641892977
15E,10,11/8/2018,3.579962966
15E,10,11/9/2018,3.502608116
15E,10,11/10/2018,3.506293212
15E,10,11/11/2018,3.491838471
15E,10,11/12/2018,3.435993317
15E,10,11/13/2018,3.370374404
15E,10,11/14/2018,3.448585277
15E,10,11/15/2018,3.513124814
15E,10,11/16/2018,3.505701657
15E,10,11/17/2018,3.464025904
15E,10,11/18/2018,3.529288414
15E,10,11/19/2018,3.539457461
15E,10,11/20/2018,3.480617511
15E,10,11/21/2018,3.564304723
15E,10,11/22/2018,3.592248224
15E,10,11/23/2018,3.677011723
15E,10,11/24/2018,3.617529848
15E,10,11/25/2018,3.586231034
15E,10,11/26/2018,3.23632677
15E,10,11/27/2018,3.570277416
15E,10,11/28/2018,3.663085489
15E,10,11/29/2018,3.681723509
15E,10,11/30/2018,3.632361082
15E,10,12/1/2018,3.565715717
15E,10,12/2/2018,3.295238196
15E,10,12/3/2018,3.349080904
15E,10,12/4/2018,3.328022649
15E,10,12/5/2018,2.680079376
15E,10,12/6/2018,2.782336247
15E,10,12/7/2018,2.747076721
15E,10,12/8/2018,2.760786231
15E,10,12/9/2018,2.726969455
15E,10,12/10/2018,2.60802471
15E,10,12/11/2018,3.017718552
15E,10,12/12/2018,2.898449554
15E,10,12/13/2018,2.799367438
15E,10,12/14/2018,2.901045158
15E,10,12/15/2018,3.127614959
15E,10,12/16/2018,3.298060633
15E,10,12/17/2018,3.288036981
15E,10,12/18/2018,3.59682621
15E,10,12/19/2018,3.594774864
15E,10,12/20/2018,3.367625771
15E,10,12/21/2018,3.324383164
15E,10,12/22/2018,3.499524471
15E,10,12/23/2018,2.875638871
15E,10,12/24/2018,3.40603126
15E,10,12/25/2018,3.176733651
15E,10,12/26/2018,3.287857593
15E,10,12/27/2018,2.762998977
15E,10,12/28/2018,2.620688327
15E,10,12/29/2018,2.496409241
15E,10,12/30/2018,2.632644695
15E,10,12/31/2018,2.589110779
15E,10,1/1/2019,2.377680733
15E,10,1/2/2019,2.361939796
15E,10,1/3/2019,2.487469873
15E,10,1/4/2019,2.882999316
15E,10,1/5/2019,3.218866893
15E,10,1/6/2019,3.505199049
15E,10,1/7/2019,3.347032486
15E,10,1/8/2019,3.28294228
15E,10,1/9/2019,2.886782429
15E,10,1/10/2019,3.293884778
15E,10,1/11/2019,3.518996995
15E,10,1/12/2019,3.450452151
15E,10,1/13/2019,3.014658786
15E,10,1/14/2019,2.900234777
15E,10,1/15/2019,2.99842162
15E,10,1/16/2019,3.257553544
15E,10,1/17/2019,3.385669691
15E,10,1/18/2019,3.457895794
15E,10,1/19/2019,3.318700457
15E,10,1/20/2019,3.419087711
15E,10,1/21/2019,3.311744252
15E,10,1/22/2019,3.354379314
15E,10,1/23/2019,2.904300389
15E,10,1/24/2019,3.024094855
15E,10,1/25/2019,2.760271758
15E,10,1/26/2019,2.898354241
15E,10,1/27/2019,3.152418813
15E,10,1/28/2019,3.245171182
15E,10,1/29/2019,2.685074056
15E,10,1/30/2019,2.588831249
15E,10,1/31/2019,2.957636695
15E,10,2/1/2019,3.13013433
15E,10,2/2/2019,3.296158292
15E,10,2/3/2019,3.428349867
15E,10,2/4/2019,3.344810922
15E,10,2/5/2019,3.337206536
15E,10,2/6/2019,3.012478643
15E,10,2/7/2019,2.668248836
15E,10,2/8/2019,2.531433102
15E,10,2/9/2019,2.550760066
15E,10,2/10/2019,2.751264164
15E,10,2/11/2019,2.71469911
15E,10,2/12/2019,2.94317217
15E,10,2/13/2019,3.273504907
15E,10,2/14/2019,3.385777292
15E,10,2/15/2019,3.318078822
15E,10,2/16/2019,3.147661486
15E,10,2/17/2019,2.939199006
15E,10,2/18/2019,2.687649363
15E,10,2/19/2019,2.636656319
15E,10,2/20/2019,2.578138769
15E,10,2/21/2019,2.576804772
15E,10,2/22/2019,2.621292466
15E,10,2/23/2019,2.752704626
15E,10,2/24/2019,2.927159616
15E,10,2/25/2019,2.994660584
15E,10,2/26/2019,3.229403024
15E,10,2/27/2019,3.202233288
15E,10,2/28/2019,3.221646268
15E,10,3/1/2019,3.348428715
15E,10,3/2/2019,3.304086017
15E,10,3/3/2019,3.24698865
15E,10,3/4/2019,3.190877576
15E,10,3/5/2019,3.163373255
15E,10,3/6/2019,3.175602266
15E,10,3/7/2019,3.261955281
15E,10,3/8/2019,4.379654065
15E,10,3/9/2019,6.102433048
15E,10,3/10/2019,5.391323918
15E,10,3/11/2019,5.222693638
15E,10,3/12/2019,5.155489177
15E,10,3/13/2019,6.835638534
15E,10,3/14/2019,6.355154614
15E,10,3/15/2019,6.053258431
15E,10,3/16/2019,6.016453012
15E,10,3/17/2019,5.811270189
15E,10,3/18/2019,5.606779753
15E,10,3/19/2019,5.413162906
15E,10,3/20/2019,5.281394928
15E,10,3/21/2019,5.260214556
15E,10,3/22/2019,5.675073269
15E,10,3/23/2019,8.041632606
15E,10,3/24/2019,7.140536407
15E,10,3/25/2019,6.567569502
15E,10,3/26/2019,6.081719445
15E,10,3/27/2019,5.986465978
15E,10,3/28/2019,5.835607565
15E,10,3/29/2019,5.760579512
15E,10,3/30/2019,6.402771854
15E,10,3/31/2019,6.171387046
15E,10,4/1/2019,5.89910802
15E,10,4/2/2019,6.048745162
15E,10,4/3/2019,6.092323454
15E,10,4/4/2019,6.010598532
15E,10,4/5/2019,5.924848352
15E,10,4/6/2019,5.77955989
15E,10,4/7/2019,5.66533132
15E,10,4/8/2019,5.601171022
15E,10,4/9/2019,5.494698345
15E,10,4/10/2019,5.778440817
15E,10,4/11/2019,7.15020506
15E,10,4/12/2019,6.69781666
15E,10,4/13/2019,6.51344905
15E,10,4/14/2019,6.35670996
15E,10,4/15/2019,6.188650731
15E,10,4/16/2019,6.050811625
15E,10,4/17/2019,5.941761503
15E,10,4/18/2019,5.742511481
15E,10,4/19/2019,5.693836998
15E,10,4/20/2019,5.616439738
15E,10,4/21/2019,5.486122796
15E,10,4/22/2019,5.274534936
15E,10,4/23/2019,5.323023163
15E,10,4/24/2019,5.222443984
15E,10,4/25/2019,5.14265668
15E,10,4/26/2019,4.96636813
15E,10,4/27/2019,4.795766476
15E,10,4/28/2019,4.612391077
15E,10,4/29/2019,4.474855848
15E,10,4/30/2019,6.080063628
15E,10,5/1/2019,7.731454201
15E,10,5/2/2019,6.916352977
15E,10,5/3/2019,6.446266489
15E,10,5/4/2019,6.194299138
15E,10,5/5/2019,5.929096241
15E,10,5/6/2019,5.742011278
15E,10,5/7/2019,5.446222001
15E,10,5/8/2019,5.304851542
15E,10,5/9/2019,5.794427618
15E,10,5/10/2019,6.617636911
15E,10,5/11/2019,6.247894925
15E,10,5/12/2019,6.031485361
15E,10,5/13/2019,5.790328356
15E,10,5/14/2019,5.454425643
15E,10,5/15/2019,5.139971032
15E,10,5/16/2019,4.732670632
15E,10,5/17/2019,5.566365076
15E,10,5/18/2019,6.564692304
15E,10,5/19/2019,5.90317126
15E,10,5/20/2019,7.394694128
15E,10,5/21/2019,8.876136994
15E,10,5/22/2019,8.206500933
15E,10,5/23/2019,7.434257094
15E,10,5/24/2019,7.15962966
15E,10,5/25/2019,6.639491245
15E,10,5/26/2019,8.678529423
15E,10,5/27/2019,8.347085456
15E,10,5/28/2019,9.311002003
15E,10,5/29/2019,8.331605955
15E,10,5/30/2019,7.495955723
15E,10,5/31/2019,6.975988607
15E,10,6/1/2019,6.637230606
15E,10,6/2/2019,6.28675509
15E,10,6/3/2019,6.966588566
15E,10,6/4/2019,8.127126455
15E,10,6/5/2019,7.356253721
15E,10,6/6/2019,6.758184923
15E,10,6/7/2019,6.094430969
15E,10,6/8/2019,5.431394165
15E,10,6/9/2019,5.035110475
15E,10,6/10/2019,4.771918519
15E,10,6/11/2019,4.457467817
15E,10,6/12/2019,4.238748649
15E,10,6/13/2019,3.979572475
15E,10,6/14/2019,4.689737845
15E,10,6/15/2019,6.30545069
15E,10,6/16/2019,5.717330863
15E,10,6/17/2019,5.405062831
15E,10,6/18/2019,5.202387962
15E,10,6/19/2019,5.078341705
15E,10,6/20/2019,4.673441752
15E,10,6/21/2019,4.302619177
15E,10,6/22/2019,5.441345705
15E,10,6/23/2019,5.539247749
15E,10,6/24/2019,5.36367851
15E,10,6/25/2019,5.007407481
15E,10,6/26/2019,4.482708087
15E,10,6/27/2019,4.040305405
15E,10,6/28/2019,3.768783618
15E,10,6/29/2019,3.522200457
15E,10,6/30/2019,3.360895381
15E,10,7/1/2019,4.437517094
15E,10,7/2/2019,7.294203907
15E,10,7/3/2019,6.510785687
15E,10,7/4/2019,5.943814619
15E,10,7/5/2019,5.735315648
15E,10,7/6/2019,8.151154175
15E,10,7/7/2019,7.123238475
15E,10,7/8/2019,6.460220121
15E,10,7/9/2019,5.805680758
15E,10,7/10/2019,5.109372703
15E,10,7/11/2019,4.46045586
15E,10,7/12/2019,3.883203746
15E,10,7/13/2019,3.539955326
15E,10,7/14/2019,3.281262374
15E,10,7/15/2019,3.095169727
15E,10,7/16/2019,2.995562538
15E,10,7/17/2019,2.869270088
15E,10,7/18/2019,2.771463746
15E,10,7/19/2019,2.656990024
15E,10,7/20/2019,2.538933534
15E,10,7/21/2019,2.503717209
15E,10,7/22/2019,2.469749977
15E,10,7/23/2019,2.476837425
15E,10,7/24/2019,2.439179785
15E,10,7/25/2019,2.406300667
15E,10,7/26/2019,2.370668136
15E,10,7/27/2019,2.347696018
15E,10,7/28/2019,2.353220869
15E,10,7/29/2019,2.345033555
15E,10,7/30/2019,2.314115636
15E,10,7/31/2019,2.483907655
15E,10,8/1/2019,3.145145806
15E,10,8/2/2019,3.255513618
15E,10,8/3/2019,3.257033326
15E,10,8/4/2019,3.127918103
15E,10,8/5/2019,2.959658743
15E,10,8/6/2019,2.809532519
15E,10,8/7/2019,2.677661833
15E,10,8/8/2019,2.573691643
15E,10,8/9/2019,2.539954309
15E,10,8/10/2019,2.428407392
15E,10,8/11/2019,2.395028971
15E,10,8/12/2019,2.365655709
15E,10,8/13/2019,2.337949458
15E,10,8/14/2019,2.313706111
15E,10,8/15/2019,2.284916722
15E,10,8/16/2019,2.265901552
15E,10,8/17/2019,2.231660573
15E,10,8/18/2019,2.231347468
15E,10,8/19/2019,2.243114655
15E,10,8/20/2019,2.213950739
15E,10,8/21/2019,2.214933658
15E,10,8/22/2019,2.209510538
15E,10,8/23/2019,2.191490468
15E,10,8/24/2019,2.192751318
15E,10,8/25/2019,2.185466067
15E,10,8/26/2019,2.167231555
15E,10,8/27/2019,2.165841412
15E,10,8/28/2019,2.160150537
15E,10,8/29/2019,2.144759649
15E,10,8/30/2019,2.133276447
15E,10,8/31/2019,2.159865998
15E,10,9/1/2019,2.163591548
15E,10,9/2/2019,2.161441927
15E,10,9/3/2019,2.16049579
15E,10,9/4/2019,2.154017039
15E,10,9/5/2019,2.144420895
15E,10,9/6/2019,2.145454457
15E,10,9/7/2019,2.170070951
15E,10,9/8/2019,2.190351463
15E,10,9/9/2019,2.551657911
15E,10,9/10/2019,2.827957239
15E,10,9/11/2019,2.870014551
15E,10,9/12/2019,2.846305484
15E,10,9/13/2019,2.896895451
15E,10,9/14/2019,2.948887447
15E,10,9/15/2019,2.942589407
15E,10,9/16/2019,2.896680204
15E,10,9/17/2019,2.785828278
15E,10,9/18/2019,2.68049426
15E,10,9/19/2019,2.608843447
15E,10,9/20/2019,2.559600856
15E,10,9/21/2019,2.486223844
15E,10,9/22/2019,2.418089218
15E,10,9/23/2019,2.401003913
15E,10,9/24/2019,2.374722564
15E,10,9/25/2019,2.352664581
15E,10,9/26/2019,2.322969819
15E,10,9/27/2019,2.30006848
15E,10,9/28/2019,2.265762637
15E,10,9/29/2019,2.310990104
15E,10,9/30/2019,2.321558239
15E,10,10/1/2019,2.289564146
15E,10,10/2/2019,2.30088166
15E,10,10/3/2019,2.320727056
15E,10,10/4/2019,2.375657598
15E,10,10/5/2019,2.407118768
15E,10,10/6/2019,2.41193288
15E,10,10/7/2019,2.410335483
15E,10,10/8/2019,2.416685437
15E,10,10/9/2019,2.399055484
15E,10,10/10/2019,2.299479497
15E,10,10/11/2019,2.279878669
15E,10,10/12/2019,2.376676607
15E,10,10/13/2019,2.495260834
15E,10,10/14/2019,2.458583906
15E,10,10/15/2019,2.43075223
15E,10,10/16/2019,2.418028303
15E,10,10/17/2019,2.429290819
15E,10,10/18/2019,2.389331273
15E,10,10/19/2019,2.345389925
15E,10,10/20/2019,2.346157289
15E,10,10/21/2019,2.261244472
15E,10,10/22/2019,2.267059922
15E,10,10/23/2019,2.266199161
15E,10,10/24/2019,2.230660897
15E,10,10/25/2019,2.239723796
15E,10,10/26/2019,2.275373817
15E,10,10/27/2019,2.21384988
15E,10,10/28/2019,2.170504561
15E,10,10/29/2019,2.137646906
15E,10,10/30/2019,2.125020558
15E,10,10/31/2019,2.128396841
15E,10,11/1/2019,2.175035058
15E,10,11/2/2019,2.184466893
15E,10,11/3/2019,2.245292728
15E,10,11/4/2019,2.298703912
15E,10,11/5/2019,2.299005522
15E,10,11/6/2019,2.302253139
15E,10,11/7/2019,2.304176989
15E,10,11/8/2019,2.321984143
15E,10,11/9/2019,2.377903589
15E,10,11/10/2019,2.387141761
15E,10,11/11/2019,2.324513371
15E,10,11/12/2019,2.290057021
15E,10,11/13/2019,2.371713652
15E,10,11/14/2019,2.39847835
15E,10,11/15/2019,2.390488238
15E,10,11/16/2019,2.416821944
15E,10,11/17/2019,2.381020676
15E,10,11/18/2019,2.450624371
15E,10,11/19/2019,2.441102969
15E,10,11/20/2019,2.434521263
15E,10,11/21/2019,2.372950087
15E,10,11/22/2019,2.350758426
15E,10,11/23/2019,2.354022236
15E,10,11/24/2019,2.380539841
15E,10,11/25/2019,2.383820577
15E,10,11/26/2019,2.360670409
15E,10,11/27/2019,2.350496244
15E,10,11/28/2019,2.347656171
15E,10,11/29/2019,2.355653418
15E,10,11/30/2019,2.392146632
15E,10,12/1/2019,2.45047399
15E,10,12/2/2019,2.466916148
15E,10,12/3/2019,2.525803465
15E,10,12/4/2019,2.780704807
15E,10,12/5/2019,4.305482368
15E,10,12/6/2019,6.386964615
15E,10,12/7/2019,6.750154978
15E,10,12/8/2019,7.690237939
15E,10,12/9/2019,6.710803147
15E,10,12/10/2019,5.278229411
15E,10,12/11/2019,4.213023523
15E,10,12/12/2019,4.420461928
15E,10,12/13/2019,4.980061408
15E,10,12/14/2019,4.481046845
15E,10,12/15/2019,4.437337359
15E,10,12/16/2019,3.72661295
15E,10,12/17/2019,3.266792357
15E,10,12/18/2019,3.199619578
15E,10,12/19/2019,3.183123818
15E,10,12/20/2019,3.182988184
15E,10,12/21/2019,3.261287271
15E,10,12/22/2019,3.521183424
15E,10,12/23/2019,3.666966893
15E,10,12/24/2019,3.950004627
15E,10,12/25/2019,4.070717942
15E,10,12/26/2019,4.36987821
15E,10,12/27/2019,4.593793537
15E,10,12/28/2019,4.94786924
15E,10,12/29/2019,4.376018104
15E,10,12/30/2019,3.358091956
15E,10,12/31/2019,3.120741566
15E,10,1/1/2020,3.240298171
15E,10,1/2/2020,3.325047942
15E,10,1/3/2020,3.231978233
15E,10,1/4/2020,3.269786655
15E,10,1/5/2020,3.45741932
15E,10,1/6/2020,3.277987299
15E,10,1/7/2020,3.442655073
15E,10,1/8/2020,3.544870667
15E,10,1/9/2020,3.559862382
15E,10,1/10/2020,3.317343746
15E,10,1/11/2020,2.980764833
15E,10,1/12/2020,3.013974507
15E,10,1/13/2020,2.98505094
15E,10,1/14/2020,3.057506352
15E,10,1/15/2020,3.219467347
15E,10,1/16/2020,3.055534839
15E,10,1/17/2020,3.071179635
15E,10,1/18/2020,3.11092913
15E,10,1/19/2020,3.107876934
15E,10,1/20/2020,3.15363654
15E,10,1/21/2020,3.358778684
15E,10,1/22/2020,4.052752947
15E,10,1/23/2020,3.835475231
15E,10,1/24/2020,4.243712636
15E,10,1/25/2020,4.903902897
15E,10,1/26/2020,5.241372354
15E,10,1/27/2020,5.394351555
15E,10,1/28/2020,5.158287497
15E,10,1/29/2020,5.074262721
15E,10,1/30/2020,4.383979557
15E,10,1/31/2020,3.953612209
15E,10,2/1/2020,5.007881806
15E,10,2/2/2020,5.519957376
15E,10,2/3/2020,5.323455328
15E,10,2/4/2020,4.596192057
15E,10,2/5/2020,3.740441868
15E,10,2/6/2020,3.494893008
15E,10,2/7/2020,3.474263638
15E,10,2/8/2020,4.227728889
15E,10,2/9/2020,4.789232986
15E,10,2/10/2020,3.519047846
15E,10,2/11/2020,3.411212897
15E,10,2/12/2020,3.472689076
15E,10,2/13/2020,3.526997023
15E,10,2/14/2020,3.823836816
15E,10,2/15/2020,4.287284138
15E,10,2/16/2020,4.391898499
15E,10,2/17/2020,5.058233797
15E,10,2/18/2020,4.240797403
15E,10,2/19/2020,3.659918001
15E,10,2/20/2020,3.502342757
15E,10,2/21/2020,3.801179396
15E,10,2/22/2020,4.56668979
15E,10,2/23/2020,5.299813238
15E,10,2/24/2020,4.914847472
15E,10,2/25/2020,4.198108349
15E,10,2/26/2020,3.559189208
15E,10,2/27/2020,4.221292683
15E,10,2/28/2020,4.700068227
15E,10,2/29/2020,5.019237616
15E,10,3/1/2020,5.160179798
15E,10,3/2/2020,5.244595295
15E,10,3/3/2020,5.102644499
15E,10,3/4/2020,5.23545371
15E,10,3/5/2020,5.363378055
15E,10,3/6/2020,5.36569773
15E,10,3/7/2020,5.420776776
15E,10,3/8/2020,5.599337235
15E,10,3/9/2020,7.254523595
15E,10,3/10/2020,6.575092847
15E,10,3/11/2020,6.269987568
15E,10,3/12/2020,6.034274772
15E,10,3/13/2020,5.737825875
15E,10,3/14/2020,5.753424758
15E,10,3/15/2020,6.060164102
15E,10,3/16/2020,6.045831935
15E,10,3/17/2020,5.974531922
15E,10,3/18/2020,5.971113744
15E,10,3/19/2020,7.734129201
15E,10,3/20/2020,7.150599304
15E,10,3/21/2020,7.25445185
15E,10,3/22/2020,7.203124727
15E,10,3/23/2020,6.85846604
15E,10,3/24/2020,6.69022523
15E,10,3/25/2020,6.511250275
15E,10,3/26/2020,6.381194338
15E,10,3/27/2020,6.284254042
15E,10,3/28/2020,6.824575279
15E,10,3/29/2020,6.557775174
15E,10,3/30/2020,6.369108027
15E,10,3/31/2020,6.282832738
15E,10,4/1/2020,6.237579864
15E,10,4/2/2020,5.876819661
15E,10,4/3/2020,5.767285547
15E,10,4/4/2020,5.84685235
15E,10,4/5/2020,5.856397348
15E,10,4/6/2020,5.874699258
15E,10,4/7/2020,5.823443878
15E,10,4/8/2020,5.707740899
15E,10,4/9/2020,5.626085948
15E,10,4/10/2020,5.618139513
15E,10,4/11/2020,5.58335589
15E,10,4/12/2020,5.275730773
15E,10,4/13/2020,5.099613367
15E,10,4/14/2020,5.044052748
15E,10,4/15/2020,5.081473685
15E,10,4/16/2020,5.159343947
15E,10,4/17/2020,6.476605651
15E,10,4/18/2020,7.163423976
15E,10,4/19/2020,7.188796926
15E,10,4/20/2020,6.857241561
15E,10,4/21/2020,6.704130147
15E,10,4/22/2020,6.531560391
15E,10,4/23/2020,6.34284209
15E,10,4/24/2020,6.2046118
15E,10,4/25/2020,6.189674969
15E,10,4/26/2020,6.118721774
15E,10,4/27/2020,6.165716732
15E,10,4/28/2020,6.092527293
15E,10,4/29/2020,6.01750244
15E,10,4/30/2020,5.970398256
15E,10,5/1/2020,5.975005224
15E,10,5/2/2020,5.716239484
15E,10,5/3/2020,5.69894465
15E,10,5/4/2020,5.949395348
15E,10,5/5/2020,5.933607805
15E,10,5/6/2020,5.887720468
15E,10,5/7/2020,5.791642934
15E,10,5/8/2020,5.647239505
15E,10,5/9/2020,5.564461484
15E,10,5/10/2020,5.59052249
15E,10,5/11/2020,5.624217282
15E,10,5/12/2020,6.652338477
15E,10,5/13/2020,6.433253885
15E,10,5/14/2020,6.609953953
15E,10,5/15/2020,10.36304462
15E,10,5/16/2020,8.750336234
15E,10,5/17/2020,7.693699125
15E,10,5/18/2020,7.417428896
15E,10,5/19/2020,7.247576807
15E,10,5/20/2020,7.032595085
15E,10,5/21/2020,6.766472868
15E,10,5/22/2020,6.615664171
15E,10,5/23/2020,6.428026932
15E,10,5/24/2020,7.288137719
15E,10,5/25/2020,7.973655725
15E,10,5/26/2020,7.311680769
15E,10,5/27/2020,7.07475689
15E,10,5/28/2020,6.840665233
15E,10,5/29/2020,6.741809012
15E,10,5/30/2020,6.486738811
15E,10,5/31/2020,6.1796249
15E,10,6/1/2020,5.771822596
15E,10,6/2/2020,5.343104876
15E,10,6/3/2020,5.041897664
15E,10,6/4/2020,4.794246352
15E,10,6/5/2020,4.577487382
15E,10,6/6/2020,4.254117211
15E,10,6/7/2020,4.134425668
15E,10,6/8/2020,3.96007619
15E,10,6/9/2020,6.739759018
15E,10,6/10/2020,6.55475286
15E,10,6/11/2020,6.224359258
15E,10,6/12/2020,5.442244846
15E,10,6/13/2020,5.220278739
15E,10,6/14/2020,4.827969545
15E,10,6/15/2020,4.381158978
15E,10,6/16/2020,4.205492008
15E,10,6/17/2020,4.014730035
15E,10,6/18/2020,3.747161067
15E,10,6/19/2020,3.563579399
15E,10,6/20/2020,3.581203847
15E,10,6/21/2020,3.551179163
15E,10,6/22/2020,3.531775179
15E,10,6/23/2020,3.575032327
15E,10,6/24/2020,3.556051887
15E,10,6/25/2020,3.429126142
15E,10,6/26/2020,4.711594164
15E,10,6/27/2020,7.970742821
15E,10,6/28/2020,6.939936787
15E,10,6/29/2020,6.453420163
15E,10,6/30/2020,5.890612603
15E,10,7/1/2020,5.526067597
15E,10,7/2/2020,5.124646063
15E,10,7/3/2020,4.687653692
15E,10,7/4/2020,4.275572424
15E,10,7/5/2020,4.012906562
15E,10,7/6/2020,3.78216019
15E,10,7/7/2020,3.539986432
15E,10,7/8/2020,3.344689749
15E,10,7/9/2020,3.156798542
15E,10,7/10/2020,3.048246248
15E,10,7/11/2020,2.929325766
15E,10,7/12/2020,2.819504436
15E,10,7/13/2020,2.735334421
15E,10,7/14/2020,2.660629203
15E,10,7/15/2020,2.645665187
15E,10,7/16/2020,2.63803643
15E,10,7/17/2020,2.59904719
15E,10,7/18/2020,2.544562309
15E,10,7/19/2020,2.547554236
15E,10,7/20/2020,2.68447537
15E,10,7/21/2020,3.589111791
15E,10,7/22/2020,3.664477747
15E,10,7/23/2020,3.584743747
15E,10,7/24/2020,3.518470616
15E,10,7/25/2020,3.368797884
15E,10,7/26/2020,3.241559093
15E,10,7/27/2020,3.229290849
15E,10,7/28/2020,3.096035705
15E,10,7/29/2020,3.023871321
15E,10,7/30/2020,2.941568981
15E,10,7/31/2020,2.909249545
15E,10,8/1/2020,2.850181323
15E,10,8/2/2020,2.776799931
15E,10,8/3/2020,2.717480359
